text,label
모의고사ㅓ 새꺄,1
지<?!+/3'{랄,1
맹규리나 여캐들 나와줘 ㅅㅂ,1
좌파년의 미친 개소리에 웃고간다 이래서 좌파가 뻔뻔하고 추잡스럽다는 거구나ㅋㅋㅋ,1
먼 룰렛이여 시발련아,1
하지만 전 속도 미친놈이기에,1
너겠지 ㅗㅗ,1
ㅅㅂ 어떤 폐륜아가 엄마한태 저레 ㅋㅋㅋ,1
뭐여 시발 이게,1
지수준에 존나맞는게,1
대가리 그로기 상태됐네 이새끼,1
존나 높은건 또 아님,1
zzzzzㅇㅈㄹ,1
씨발!????,1
현찬이 존나화났네 ㅋㅋ,1
애미애비개보지년아,1
미. 친 ㅇ년. 찍 싸겠게. ㅋㅋ,1
패드새끼가,1
ㅂㅅ의원이요,1
ㅆ끼발,1
맨날 나보고 지랄이야 아직 아무말도 안했는데 아무것도 안했는데,1
이제 짱개 짱첸 하고 늙다리 오다리 부동산 재벌 하지원봐야되나?,1
머리가 좆같다,1
네이버 댓글 매국틀딱들도 잡아야하는데,1
응 닥처 공산당 빨갱이,1
fuck shit pussy ass mother fucing bitch ass wholefuck shit pussy ass mother fucing bitch ass whole,1
쟤 일 존나안함,1
코딱지만한 임대아파트가면 애 두명은 기본이고 세명 네명도 낳더라 개돼지아파트 많이 지어주면 해결될지도 ㅋㅋ,1
프레세이지 ㅅㅂ,1
좆까라그래,1
코로나로 4일째 뒤질것 같은 사에 입니다..,1
정답 이게 진짜 한국의 현실이여 외국인들도 호구처럼 티비로 한국을 배우지말고 인터넷이 진짜 한국인의 수준이다 괜히 대깨지지율 40프로나오는게 아님 자유자본주의에 대한 질투와 반감이 베트남저리가라지 오히려갈수록 그런수준들이 더심해진다는게 문제 아마 개돼지들이 가장 설치는 국가중 하나일듯 화려한도심만보여주고 마치 한국 전체가 친절하고 미래지향적인걸 대표하는것처럼 광고 하지만 실제로는 소수일뿐이고 이게 진짜 한국의 현주소임 그러니 제발 관광홍보좀 적당히 사기쳐라 언젠가 외국인도 니들 인성알면 다 침뱉고 떠난다,1
시발련아 왜 반박못하냐?ㅋㅋㅋㅋ,1
ㅋㅋㅋㅋㅋ 뭔 따까리야 ㅅㅂ;;,1
김정은 새끼 쇼하다가 딱 걸렸네 한심하다 재앙이 국고 손실 물어내라,1
ㅆㅂ새끼 졸업때문에미쳐가지고 지랄의왕지랄의대가지랄 수 가됨,1
너 좀 닥쳐봐ㅠㅋ,1
부모없는새끼한태,1
네이버에 상주하는 자칭 보수 일베충들 수준이 이정도네. 남이 잘되는 꼴을 못본다,1
ㅅㅂ 리겐 반군,1
문지원이 지랄함?,1
ㅅㅂㄲ,1
개병신버러지,1
너 뭔 지랄을 했길레..,1
진짜 한국이나 미국이나 쪽바리들때매 안되는구나ㅠㅠ,1
애미 뒈져버려서,1
다같이핵던져라진짜 짱개들땜에 지구멸망하겠네,1
<@1065214215230599300> 야이 ㅂㅅㅅㄲ야,1
니 엄마나 보러가,1
등신 박고 바로 쿠소님같음 이러네,1
시발장애인년아,1
ㅁ 테니스 여자라고 시발 스윗한남모드된거봐 어우 죽탱이마려워,1
"제ㅐ발ㅊ므ㅔ9ㅓㅐㅇㅈ레 처,ㅐ사비ㅏㄹ좆가틈내ㅓ댖서재ㅓㄷㄱ르ㅐㅡㄷ줍갸ㅕㅗ어ㅣㅏ",1
많이 좋아하네 이새끼,1
최고의 개새끼는,1
그새끼가 쫄튀하고 채팅방에서,1
뒤져야할듯,1
스테리도 존ㄴㄴㄴㄴㄴㄴㄴㄴ나못하면서 초보 중수 고수 ㅇㅈㄹ ㅋㅋㅋㅋㅋ,1
니엄마탐아,1
짱개들이,1
시속이 집안도 그지새끼집안이라,1
"유동규 전재산이 2억이고,지금 살고있는 집도 월세 라면? 갈취한 그 거액? 이 어디로 갔을까? 이죄명 주머니???",1
등급의미좃도없으면,1
씨발 오냐!!!!,1
좆같았어요,1
인생이 좆같은이유,1
"나 예전에 러시아 망명 진심이었음,,러시아 대사관에 전화했었음,,가족이 잘못되어도 내 손으로 해결할 사항이 아니였음,, 그 만큼 난 압박받고 있었고 친구한테 하소연 해도 그냥 미친 🐕 였을 뿐,,,이 상황을 도저히 용납할 수가 없었음,,,아 일본에 망명요청 한다고 한 것도 사실 맞음,,진심이였음,,도와주면 줄수록 어떻게 내 등뒤에서 칼을 꽂냐고,,,러시아는 준비가 안되서 실패했음,,일본은? 준비하고 있을가? 불발시 내가 살아갈 방법이 한국에는 사실 없음,,이것이 진실이고 조직적으로 작업하는데 방어막이 없음,,",1
저 40%만 몰아서 다 북한 보내면 나라가 살만한 곳이 될 듯..아 물론 문재인하고 같이 묶어서..,1
녀적녀는 과학입니다 베플이 증명,1
개 젓같은 소리 뚝,1
그딴새끼랑,1
이산화탄소의 주범 수구꼴통들 개틀딱이들 숨쉬지않고 디지기만해도 미세먼지에서 해방.,1
이새끼 굿 인어프 딜이 뭔지나알고 방미하냐? 영어한자 모르는새끼가 그냥적화대에서 혼밥이나 처 먹어라!,1
시@발 귀신마냥,1
ㅂㅅ큐디 또 정신병도졌네,1
어쩌라고 꼬추 좆만한 새끼야,1
ㅈ도 못하는 에미 창녀 레이나가,1
존나 뚱냥이,1
좆까드림,1
레알 존나게 비싸던데,1
ㅅㅂ 소리 안들려서 소리 키우다가 ㅈㄴ 놀랐네ㅋㅋㅋㅋㅋ,1
모기는 씨발,1
개좆된것 같은데,1
어제 싸가지 없다 뭐라했잔아,1
딱보니 4050 개꼰대 틀딱 새끼네,1
그러니까 아가리해,1
벌레폐급버러지를 줄인말,1
게임만해서 ㅄ된듯,1
저새끼 또 아직까지 내 계정으로,1
탈레반의 저런 전술을 믿나 보네 ㅋㅋㅋㅋ 기자가 순진한건지 ㅁㅊ한건지. 역사상 평화협정을 지켜온 나라는 미국밖에 없어.대표적으로 베트남전에서 그랬고 탈레반과 미국이 맺은 협정도 마찬가지지. 그런 기회를 두고 아프간 재건을 논한다고 ? 애초에 저런 나라에는 희망이 없을뿐이지. 그리고 아프간은 정확하게 알았던거지.베트남처럼 만들면 미국은 알아서 철수 한다고. 보이지 않는적 게릴라전. 지역과 상황만 다를뿐 베트남과 똑같지. 애초에 정규군에 맞춰진 미국이 안 맞는 게임이지.,1
뭐야 이병신아,1
다공이는 골드 언제오죠 이지랄하지 애들이,1
이름은또왜지랄이고,1
pvp하는 새끼들은,1
씨발년ㅇ 캌,1
잘아는새끼가,1
시발 나 내일부터 9시 출근하라는데,1
아니 빅샌아 ㅅㅂ,1
성경에 하나새끼는,1
바이러스는 니네나라에서나 퍼뜨리라고 민폐끼치지 말고 ㅗ,1
시1발그만,1
아니 베르사유저병신어디감,1
ㅈㄹ을해라 ㅈㄹ을 ㅉ,1
ㅅㅂ딛시,1
아니시바류빼박이잔아,1
맞추면 브롤 존나,1
존나 힘들가,1
나랑놀아야지시발새기야,1
나보다 꼬추 크면 아갈,1
시발 장애인이,1
애들 존나모아진게,1
ㅈㄹ 합성 충새기,1
니들이 욕 존나 하니까?,1
갑자기 배우 ㅈ같다고,1
안할수만있으면 학교에 공주드레스있고 등교한다 ㅅㅂㅋㅋㅋㅋㅋ,1
근첩새끼가 상영하는 영화 안봄,1
지뢰계맞네 ㅅㅂ,1
타격대 들고 럴킹이나 돌지마 미친새기야,1
클립 잇 토큰 3개 멍청하게 사기당하세요! 토큰 5개 막으라고 개새끼야! 토큰 5개 퀘스트 토큰 (몰랑 2개빼고 다 깸),1
쓰레기행동 하지말고 쥐죽은듯 있어라!!! 북핵 존재도 파악못한 머저리들!!!,1
키배 아니지 병신아,1
존나 그룹으로,1
사설 할꺼냐고 넬로 씨발람새끼야 ㅋㅋㅋ,1
둘이 닮았네.... 잘 어울린다 축복해줘라 이게 뭐라고 공주면 지마음돼로 결혼 못하냐? 참 일본 이해가 안돼는 나라다 뭐던 정도로 정직하게 한다고 하지만 실질은 뒷다마치고 참... 속을 좀 드러내보던가 쏙좀은 사람들일세,1
<@1175785691880374367> 엄마랑 쎄쎄쎄하다가 싸다구치니깐 느금마 볼따구 빨개져서 홍조나온새끼야,1
미니역할을 버리더라고 병시니,1
팀 내의 많은 또라이들을 물리치고,1
남아나질않아개새끼야,1
성불하시오 시1발,1
와 ^^ㅣ발,1
시발 조졌네 이거,1
에초에 잼민족에 별 상관없는 ㅂㅅ들만 처 나가는데,1
형 상대가 ㅈ같아서 화나셨어요?̊̈,1
개 병신 찐따 왕따 뽕따 말찐따,1
북한은 우리국민까지 죽이는나라임 연평해전연평도 천안함 폭탄사건 이래도 퍼주는 문재앙 ㅋㅋ이명박근혜보다 훨씬심각,1
너검 병신새기야,1
길냥이 병 #신이라고 믿는분이라,1
좆주접 ㄴㄴ 하셈 아윤아 넌 아무것도 못 함 여자는,1
근데 진짜 이 인간 정상으로 보이세요? 여야를 떠나서 대깨문들한테 진심으로 묻고 싶어요. 정말 이 사람이 정상적인 사고를 하는 사람으로 보이나요? 잘못하면 나라 거덜납니다. 이죄명 &gt;&gt;&gt;&gt;&gt; 히틀러+스탈린+김정은 입니다. 정권교체해서 대한민국 살려내야합니다 !!!,1
병[{<신,1
돈 쌓이면 좆된다는 말 떠올라서,1
1번 좆사기,1
드립친걸 그 ㅈㄹ로 받는 수준,1
그새끼만,1
# 니 누구냐 ㅋㅋㅋㅋ <@1318197803935076354> <@1318200173079560253> <@1318200492165173371> <@1318198670637666316>  이새끼 시간줬더니 토큰만들어온거냐 ;; 2105,1
법원에서 꺼져주시면 감사하겠습니다.,1
바다왕자는 그냥 ㅅㅂ,1
아니 이새끼들은 뭐하는새끼임?,1
느금마요 지원아 ㅋㅋ,1
개븅신들,1
병신아 ㅋㅋㅋㅋ,1
한판에 씨발 에이스를 몇번 해먹는거야,1
시발년이니까,1
혼자 지랄하는게 존나 웃김ㅈ,1
천명이 ㅂㅅ,1
존나진지한프사로,1
스페야씨발련아,1
걍 나갈꺼임 장애잉새끼야 ㅋㅋ,1
울산 쓸태없이 존나 넓음;;,1
진짜 저새끼 미친놈아니냐 ㅅㅂㅋㅋㅋㅋㅋ,1
.                                      ㅗ,1
이시발들이,1
그래서그럼 ㅆㅂ,1
# 새끼 기열!!!,1
꼬우면 구혜선이 포렌식해서 까던가 돼지육수련들아,1
ㅈ)=ㄹ,1
장애인새기야애미개보지새기야스레기새기야,1
ㅅㅂ이새기내가미친짓한다면서,1
승관 엄마 보지 흑보지,1
규칙 설정 테스트 시발 4,1
아니 씨발 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
좆댔네요,1
쪽바리들 여전하네 아직도 지들이 우위라는거지 어디 두고보자!!!!! 올림픽은 끝장이다!!!!!저주를 부어야지~~~호호,1
근데 존나약오르니까,1
느그애비 뽀뽀,1
# 난 도배하는가를 따진게 아니야... 자동인지 수동인지 그걸따지지 비응신버러지새끼야... # 오토키도 기계고 매크로도 기계지 ㅋㅋ 기계에 의존하는 한심한 경계선지능장애인새끼... 맨손으로 상대하기 어려우니까 추하게 기계 쓰지 ㅋㅋ 근데어캄 기계는 아직 내 아래임.그만 발악해...# 난 도배하는가를 따진게 아니야... 자동인지 수동인지 그걸따지지 비응신버러지새끼야... # 오토키도 기계고 매크로도 기계지 ㅋㅋ 기계에 의존하는 한심한 경계선지능장애인새끼... 맨손으로 상대하기 어려우니까 추하게 기계 쓰지 ㅋㅋ 근데어캄 기계는 아직 내 아래임.그만 발악해...# 난 도배하는가를 따진게 아니야... 자동인지 수동인지 그걸따지지 비응신버러지새끼야... # 오토키도 기계고 매크로도 기계지 ㅋㅋ 기계에 의존하는 한심한 경계선지능장애인새끼... 맨손으로 상대하기 어려우니까 추하게 기계 쓰지 ㅋㅋ 근데어캄 기계는 아직 내 아래임.그만 발악해...# 오토키도 기계고 매크로도 기계지 ㅋㅋ 기계에 의존하는 한심한 경계선지능장애인새끼... 맨손으로 상대하기 어려우니까 추하게 기계 쓰지 ㅋㅋ 근데어캄 기계는 아직 내 아래임.그만 발악해...# 난 도배하는가를 따진게 아니야... 자동인지 수동인지 그걸따지지 비응신버러지새끼야... # 오토키도 기계고 매크로도 기계지 ㅋㅋ 기계에 의존하는 한심한 경계선지능장애인새끼... 맨손으로 상대하기 어려우니까 추하게 기계 쓰지 ㅋㅋ 근데어캄 기계는 아직 내 아래임.그만 발악해...,1
아일 속국으로 한다=이게 뭔 개소리냐,1
저새끼주제에 ㅋㅋ,1
응느그애미보지,1
플레이조커 ㅅㅂ,1
걍 개병신됨,1
변기년과 머저리 50대 틀딱들 졸라 싫음,1
ㅁㅊㅁㅅㅎㅈㄹㅅㄷㅅ,1
느그 할애비 뒤진날이네,1
게이는 ㅅㅂ,1
아 씨발 존나 하고 싶네,1
지랄하지마록,1
쫒까?,1
야이개색갸,1
새{}}41끼,1
이런 ㅄ이 누가 손해냐니까 반박을 못하네 ㅋㅋ,1
이러다간 규칙에 무료대리 금지 이지랄 하겠다,1
다 지엠 개새기가 해서,1
ㅅㅂ 쎅스,1
ㅅㅂ 사람 많아도,1
이ㅅㄲ뭐냐 정체가ㅡㅡ장시호에 상간녀에ㅡㅡ더럽다더러워,1
국거리고기가 존나 맛도리임,1
갯 새키,1
마사지해주다 섹스하자는년은 첨보네,1
ㅗ 같은 이모지요ㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛ,1
야&-9</발,1
"아무리 안 친했다고 안그래도 바닥에 떨어진 놈 짓뭉게 버리냐. 다른건 그렇다 쳐도 여자와 잠자리에 미친 사람 같았다, 아침까지 술먹다 촬영장에 나왔다 같은 얘긴 뭐하러 하냐? 고자질쟁이같고 남자답지 않아 보인다.",1
븅신년아ㅣ,1
마크로딩 존나안되는데,1
시미베 : 슬배하고 너기묘 ㄱㄱ 슬배안하고 아이템 어슬럼함 ㅅㅂ 아이템 어슬럼 하고 발로한다음에 ㄱㄱ 발로 끝나고 하데스 rng겜함 내일하자고함 이새끼 왜이러지?,1
씨발 서화,1
ai해 ㅗㅗㅗㅗ,1
요한ㅇㅈㄹ,1
문지원특:자기가 모더인거마냥 야야 국창 비워 하는데 막상 국창 비우면 그땐 이미 뒤져있음,1
자기 중심적 사고 존나 지리네,1
간첩 빨갱이들 부들부들 하노,1
문재인 ㄱ ㅐ ㅅ ㅐ ㄲ ㅣ,1
왜 시발 여기서 ㅊ 싸움,1
ㅠㅗㅗㅗㅗㅗㅗ,1
에라이 시발새끼들,1
이새끼가 걍,1
훠훠훠 뉘미 쉬발,1
엄지영 그년은 왜 하필 연기를 가르쳐달라고 해서리 또 왜 모텔앞까지 따라오고선 혈기왕성한 남자입장서 어쩌라고?! 여자의 이중성이 삼십년을 아우르네 ㅉ 모텔까지 오기전 얼마든지 거부할수 있을텐데 남자로선 반은 성공했다고 오해할수있는부분 그년이 반은 빌미를 제공해놓고 씨,1
저새끼한태 토이준사람이 전데,1
서버 이지랄나도 붙잡는 이유는,1
오 좆같은방법이야,1
개찐따 병신 버러지같은 학교에서 빵셔틀에 우유 병신같이 딸기사오라했는데 초코 사와서 뺨쳐맞는 비응신련이 진짜 좆찐따같이 행동하네 ㅋㅋ 죽탱이 좌우로 한대씩 후려갈겨서 정신 못차리는 상황에서 뺘마리 후려갈겨서 정신차리면 또 후려갈기고 줘터질때까지 후려패버리고싶네 ㅋㅋ,1
느금마 보지 따먹음,1
큐트는 좆밥인데,1
뭐요 ㅅㅂ,1
호구새끼로,1
씨9?*`\!^/불,1
야 트리스 개새꺄,1
시발 니 대가리로 돌려차기 후두려 패줘?,1
ㅅㅂ쟤가 왜 나야,1
오타 흘리지마 병신아 ㅋㅋ,1
내 차가 아니라 ㅅㅂ,1
느금마 해 놓고선,1
니그들이 호구짓해서 이맹박그네 빵에 보내고 뭔개소리 들인지ᆢ,1
ㄴㄴ 뒤져가는중임,1
세환이 가오 디진다,1
원래 좀 병신같은새끼들이 공부 잘하나,1
둘이그냥노자짓하다가 한놈이과몰입해서 혼자삐짐 ㅇㅈ?,1
시'_>{<벌,1
좆걸레야,1
# 하 방학 시발 2일남았다,1
느그 재앙이 부엉바위서 디지면 공수처 설치할께 그래야 재앙이 잔당들 탈탈털어서 인민재판한당께,1
ㅋㅋ 폼 좆밥이네 ㅋㅋ,1
뒤질것 같은,1
씨빨 뚱녀 특,1
ㅁ 걔들이 매워할정도면 존나맵다는건데,1
문재앙 쳐뽑은 새끼들이 자처한 나라. 한번도 경험하지 못한 우리민족끼리 사회주의국가 건설. 문재앙 쳐뽑은새끼들아 니들은 양심있음 애새끼 낳아야하는거 아니냐,1
막 시발,1
하면되잖아씨발아,1
쟤 짱깨조선족이잖아,1
문재앙과 민좃당을 깨끗하게 청소하자,1
ㅁㅊㅅㄲ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
나가뒤져 홍콩 구경 시켜주기전에 ㅋㅋ,1
지금은 좆같이안나오잖아 ㅋㅋ,1
특검 결사 반대하는늠이 도둑늠이다..너.아니지 4범,1
ㅁ 귀참사냥이 씨발 더 빠르노,1
민주당 지지자로서 우리는 홍준표 유승민으로 정권이 교체되면 속은 쓰려도 머 어쩌겠냐고 살겠는데 윤돼지가 되면 진짜 이민가고 싶을거같다 특히 쥴리뇬 영부인이랍시고 티비에 나오는순간 나는 자연인이다 처럼 살고싶을듯,1
좆도못알아듣고,1
"사형시켜 나와봐야 어디 쓸때도없고 불안감,공포감만 조성시키고 또 성폭행저지를넘이니 사형시켜",1
이새끼 인종차별안하는대신,1
좆고수,1
화물ㅄ,1
똑같은새끼~ ㅋㅋ,1
포스코케미칼 품질시험 테스트 실패 허위사실 쓴 기레기세끼네... 얼마 받아 쳐먹었냐?? 오늘 하루만 공매도가 23만주다 자그마치360억이다..니기사 하나에..기레기세끼야.. 너 두고보자.,1
어드민빼 ㅅㅂ,1
저거 존나아프겠다,1
뭐 꺼져?,1
지랄애미,1
이 새끼들 기절하기전까지 할수도 있지 뭐,1
니네가먼데씹버러지들아,1
걍 온건데 ㅅㅂ,1
개좆밥새끼,1
문재앙이랑 전라도 북괴놈들 울겠노..,1
걍 꺼져 이새키야..,1
딸쳐야한다고,1
